Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,Mode,TStep,Skip,Comment
W0MXW,290 feet AGL. Wires-X is Digital. Repeater is in AMS mode. ,146.625000,-,0.600000,Tone,100.0,,FM,0.005,OFF,"W0MXW Rochester, Minnesota"
W0MXW,,146.820000,-,0.600000,Tone,100.0,,FM,0.005,OFF,"W0MXW Rochester, Minnesota"
W0NE,,146.640000,-,0.600000,Tone,100.0,,FM,0.005,OFF,"W0NE Winona, Minnesota"
N0PDD,,147.285000,+,0.600000,Tone,100.0,,FM,0.005,OFF,"N0PDD Winona, Minnesota"
W0NE,,444.225000,+,5.000000,Tone,100.0,,FM,0.005,OFF,"W0NE Winona, Minnesota"
WX9E,,147.100000,+,0.600000,Tone,123.0,,FM,0.005,OFF,"WX9E Wonewoc, Wisconsin"
KD9UU,,443.675000,+,5.000000,Tone,123.0,,FM,0.005,OFF,"KD9UU North Freedom, Wisconsin"
WD8DAS,,147.180000,+,0.600000,Tone,107.2,,FM,0.005,OFF,"WD8DAS Madison, Wisconsin"
KB9DRZ,,444.575000,+,5.000000,Tone,123.0,,FM,0.005,OFF,"KB9DRZ Madison, Wisconsin"
W9BG,,444.775000,+,5.000000,Tone,123.0,,FM,0.005,OFF,"W9BG Madison, Wisconsin"
WC9AAG,This information provided by WEM communications office,145.650000,-,0.600000,Tone,123.0,,FM,0.005,OFF,"WC9AAG Madison, Wisconsin"
KC9PVD,,443.825000,+,5.000000,Tone,127.3,,FM,0.005,OFF,"KC9PVD Slinger, Wisconsin"
N9WMN,,440.775000,+,5.000000,Tone,127.3,,FM,0.005,OFF,"N9WMN East Troy, Wisconsin"
K9HBO,,444.225000,+,5.000000,Tone,151.4,,FM,0.005,OFF,"K9HBO Lisbon, Wisconsin"
N9BMH,,146.625000,-,0.600000,Tone,127.3,,FM,0.005,OFF,"N9BMH Milwaukee, Wisconsin"
